car_name,car_name_encoded
Acura MDX 3.5L,1
Acura MDX 3.7L,2
Acura MDX SH-AWD,3
Acura ZDX SH-AWD,4
Audi A1 1.4 TFSI,5
Audi A3 1.4 AT,6
Audi A3 1.8 AT,7
Audi A4 1.8 TFSI,8
Audi A4 1.8T,9
Audi A4 2.0 TFSI,10
Audi A4 40 TFSI Advanced,11
Audi A5 2.0 T Quattro,12
Audi A5 2.0T S-line Quattro,13
Audi A5 Sportback 2.0,14
Audi A6 1.8 TFSI,15
Audi A6 2.0 TFSI,16
Audi A6 2.0T,17
Audi A6 2.4 AT,18
Audi A6 3.0T Quattro,19
Audi A6 45 TFSI,20
Audi A7 3.0 TFSI,21
Audi A8 L 3.0 Quattro,22
Audi A8 L 4.2 Quattro,23
Audi A8 L V6 3.0 TFSI,24
Audi Q2 1.4 TFSI,25
Audi Q3 2.0 Quattro,26
Audi Q3 35 TFSI,27
Audi Q3 Exclusive 2.0 TFSI Quattro,28
Audi Q5 2.0 AT,29
Audi Q5 3.2 AT,30
Audi Q5 45 TFSI Quattro,31
Audi Q5 Sportback Sline 45 TFSI Quattro,32
Audi Q7 2.0 AT,33
Audi Q7 3.0 AT,34
Audi Q7 3.6 AT,35
Audi Q7 4.2 AT,36
Audi Q7 45 TFSI Quattro,37
Audi Q7 S-line 2.0 AT,38
Audi S5 Sportback 3.0 TFSI Quattro AT,39
Audi TT 2.0 TFSI,40
Audi TT Roadster 2.0 AT,42
Audi TT RS 3.2 Quattro,41
Baic Beijing U5 Plus Luxury,95
Baic Beijing X7 Premium 1.5 AT,96
Baic Q7 1.5 AT,97
Bentley Continental GT,98
Bentley Continental GT Speed,99
Bentley Flying Spur 6.0 V8,100
Bentley Flying Spur Speed,101
Bentley Flying Spur W12,102
BMW 1 Series 116i,43
BMW 2 Series 218i Active Tourer,44
BMW 2 Series 218i Gran Tourer,45
BMW 3 Series 320i,46
BMW 3 Series 320i GT,47
BMW 3 Series 320i M Sport,48
BMW 3 Series 320i Sport Line,49
BMW 3 Series 320i Sport Line Plus,50
BMW 3 Series 325i,51
BMW 3 Series 328i,52
BMW 3 Series 328i GT,53
BMW 3 Series 330i M Sport,54
BMW 4 Series 420i Convertible,55
BMW 4 Series 420i Coupe,56
BMW 4 Series 420i Gran Coupe,57
BMW 5 Series 520i,58
BMW 5 Series 520i Luxury,59
BMW 5 Series 520i Luxury Line,60
BMW 5 Series 520i M Sport,61
BMW 5 Series 523i,62
BMW 5 Series 528i,63
BMW 5 Series 528i GT,64
BMW 5 Series 530i,65
BMW 5 Series 530i Luxury Line,66
BMW 5 Series 530i M Sport,67
BMW 5 Series 535i GT,68
BMW 6 Series 640i Gran Coupe,69
BMW 7 Series 730d,71
BMW 7 Series 730Li,70
BMW 7 Series 750Li,72
BMW X1 sDrive18i,73
BMW X1 sDrive20i,74
BMW X1 xDrive28i,75
BMW X2 sDrive18i,76
BMW X3 sDrive20i,77
BMW X3 sDrive20i M Sport,78
BMW X3 xDrive20i,79
BMW X3 xDrive20i M Sport,80
BMW X3 xDrive28i,81
BMW X3 xDrive30i M Sport,82
BMW X3 xDrive30i xLine,83
BMW X4 xDrive20i,84
BMW X4 xDrive28i,85
BMW X5 3.0si,86
BMW X5 4.8i,87
BMW X5 xDrive30i,88
BMW X5 xDrive35i,89
BMW X6 ActiveHybrid,90
BMW X6 xDrive35i,91
BMW X6 xDrive50i,92
BYD Atto 3 Premium,93
