id,model_id,name,origin,transmission,fuel_type,engine_capacity,seats,car_name_encoded
1,1,3.5L,Imported,Automatic,Petrol, 3.5 L,7,1
2,1,3.7L,Imported,Automatic,Petrol, 3.7 L,7,2
3,1,SH-AWD,Imported,Automatic,Petrol, 3.7 L,7,3
4,2,SH-AWD,Imported,Automatic,Petrol, 3.7 L,5,4
5,3,1.4 TFSI,Imported,Automatic,Petrol, 1.4 L,5,5
6,4,1.4 AT,Imported,Automatic,Petrol, 1.4 L,5,6
7,4,1.8 AT,Imported,Automatic,Petrol, 1.8 L,5,7
8,5,1.8 TFSI,Imported,Automatic,Petrol, 1.8 L,5,8
9,5,1.8T,Imported,Automatic,Petrol, 1.8 L,5,9
10,5,2.0 TFSI,Imported,Automatic,Petrol, 2.0 L,5,10
11,5,40 TFSI Advanced,Imported,Automatic,Petrol, 2.0 L,5,11
12,6,2.0 T Quattro,Imported,Automatic,Petrol, 2.0 L,2,12
13,6,2.0T S-line Quattro,Imported,Automatic,Petrol, 2.0 L,2,13
14,6,Sportback 2.0,Imported,Automatic,Petrol, 2.0 L,5,14
15,7,1.8 TFSI,Imported,Automatic,Petrol, 1.8 L,5,15
16,7,2.0 TFSI,Imported,Automatic,Petrol, 2.0 L,5,16
17,7,2.0T,Imported,Automatic,Petrol, 2.0 L,5,17
18,7,2.4 AT,Imported,Automatic,Petrol, 2.4 L,5,18
19,7,3.0T Quattro,Imported,Automatic,Petrol, 3.0 L,5,19
20,7,45 TFSI,Imported,Automatic,Petrol, 2.0 L,5,20
21,8,3.0 TFSI,Imported,Automatic,Petrol, 3.0 L,5,21
22,9,L 3.0 Quattro,Imported,Automatic,Petrol, 3.0 L,5,22
23,9,L 4.2 Quattro,Imported,Automatic,Petrol, 4.2 L,5,23
24,9,L V6 3.0 TFSI,Imported,Automatic,Petrol, 3.0 L,5,24
25,10,1.4 TFSI,Imported,Automatic,Petrol, 1.4 L,5,25
26,11,2.0 Quattro,Imported,Automatic,Petrol, 2.0 L,5,26
27,11,35 TFSI,Imported,Automatic,Petrol, 1.4 L,5,27
28,11,Exclusive 2.0 TFSI Quattro,Imported,Automatic,Petrol, 2.0 L,5,28
29,12,2.0 AT,Imported,Automatic,Petrol, 2.0 L,7,29
30,12,3.2 AT,Imported,Automatic,Petrol, 3.2 L,7,30
31,12,45 TFSI Quattro,Imported,Automatic,Petrol, 2.0 L,7,31
32,12,Sportback Sline 45 TFSI Quattro,Imported,Automatic,Petrol, 2.0 L,7,32
33,13,2.0 AT,Imported,Automatic,Petrol, 2.0 L,7,33
34,13,3.0 AT,Imported,Automatic,Petrol, 3.0 L,7,34
35,13,3.6 AT,Imported,Automatic,Petrol, 3.6 L,7,35
36,13,4.2 AT,Imported,Automatic,Petrol, 4.2 L,7,36
37,13,45 TFSI Quattro,Imported,Automatic,Petrol, 2.0 L,7,37
38,13,S-line 2.0 AT,Imported,Automatic,Petrol, 2.0 L,7,38
39,14,Sportback 3.0 TFSI Quattro AT,Imported,Automatic,Petrol, 3.0 L,5,39
40,15,2.0 TFSI,Imported,Automatic,Petrol, 2.0 L,2,40
41,15,Roadster 2.0 AT,Imported,Automatic,Petrol, 2.0 L,2,42
42,15,RS 3.2 Quattro,Imported,Automatic,Petrol, 3.2 L,2,41
43,16,Luxury,Imported,Automatic,Petrol, 1.5 L,5,95
44,17,1.5 AT,Imported,Automatic,Petrol, 1.5 L,7,96
45,18,1.5 AT,Imported,Automatic,Petrol, 1.5 L,7,97
46,19,GT,Imported,Automatic,Petrol, 6.0 L,2,98
47,19,GT Speed,Imported,Automatic,Petrol, 6.0 L,2,99
48,20,6.0 V8,Imported,Automatic,Petrol, 6.0 L,5,100
49,20,Speed,Imported,Automatic,Petrol, 6.0 L,5,101
50,20,W12,Imported,Automatic,Petrol, 6.0 L,5,102
51,21,116i,Imported,Automatic,Petrol, 1.6 L,5,43
52,22,218i Active Tourer,Imported,Automatic,Petrol, 1.5 L,5,44
53,22,218i Gran Tourer,Imported,Automatic,Petrol, 1.5 L,5,45
54,23,320i,Imported,Automatic,Petrol, 2.0 L,5,46
55,23,320i GT,Imported,Automatic,Petrol, 2.0 L,5,47
56,23,320i M Sport,Assembly,Automatic,Petrol, 2.0 L,5,48
57,23,320i Sport Line,Assembly,Automatic,Petrol, 2.0 L,5,49
58,23,320i Sport Line Plus,Imported,Automatic,Petrol, 2.0 L,5,50
59,23,325i,Imported,Automatic,Petrol, 2.5 L,5,51
60,23,328i,Imported,Automatic,Petrol, 2.0 L,5,52
61,23,328i GT,Imported,Automatic,Petrol, 2.0 L,5,53
62,23,330i M Sport,Assembly,Automatic,Petrol, 2.0 L,5,54
63,24,420i Convertible,Imported,Automatic,Petrol, 2.0 L,2,55
64,24,420i Coupe,Imported,Automatic,Petrol, 2.0 L,2,56
65,24,420i Gran Coupe,Imported,Automatic,Petrol, 2.0 L,5,57
66,25,520i,Imported,Automatic,Petrol, 2.0 L,5,58
67,25,520i Luxury,Imported,Automatic,Petrol, 2.0 L,5,59
68,25,520i Luxury Line,Assembly,Automatic,Petrol, 2.0 L,5,60
69,25,520i M Sport,Imported,Automatic,Petrol, 2.0 L,5,61
70,25,523i,Imported,Automatic,Petrol, 2.5 L,5,62
71,25,528i,Imported,Automatic,Petrol, 3.0 L,5,63
72,25,528i GT,Imported,Automatic,Petrol, 2.0 L,5,64
73,25,530i,Imported,Automatic,Petrol, 2.0 L,5,65
74,25,530i Luxury Line,Imported,Automatic,Petrol, 2.0 L,5,66
75,25,530i M Sport,Imported,Automatic,Petrol, 2.0 L,5,67
76,25,535i GT,Imported,Automatic,Petrol, 3.0 L,5,68
77,26,640i Gran Coupe,Imported,Automatic,Petrol, 3.0 L,5,69
78,27,730d,Imported,Automatic,Diesel, 3.0 L,5,71
79,27,730Li,Imported,Automatic,Petrol, 3.0 L,5,70
80,27,750Li,Imported,Automatic,Petrol, 4.4 L,5,72
81,28,sDrive18i,Imported,Automatic,Petrol, 1.5 L,7,73
82,28,sDrive20i,Imported,Automatic,Petrol, 2.0 L,7,74
83,28,xDrive28i,Imported,Automatic,Petrol, 3.0 L,7,75
84,29,sDrive18i,Imported,Automatic,Petrol, 1.5 L,5,76
85,30,sDrive20i,Assembly,Automatic,Petrol, 2.0 L,7,77
86,30,sDrive20i M Sport,Assembly,Automatic,Petrol, 2.0 L,7,78
87,30,xDrive20i,Imported,Automatic,Petrol, 2.0 L,7,79
88,30,xDrive20i M Sport,Assembly,Automatic,Petrol, 2.0 L,7,80
89,30,xDrive28i,Imported,Automatic,Petrol, 2.0 L,7,81
90,30,xDrive30i M Sport,Imported,Automatic,Petrol, 2.0 L,7,82
91,30,xDrive30i xLine,Imported,Automatic,Petrol, 2.0 L,7,83
92,31,xDrive20i,Imported,Automatic,Petrol, 2.0 L,7,84
93,31,xDrive28i,Imported,Automatic,Petrol, 2.0 L,7,85
94,32,3.0si,Imported,Automatic,Petrol, 3.0 L,7,86
95,32,4.8i,Imported,Automatic,Petrol, 4.8 L,7,87
96,32,xDrive30i,Imported,Automatic,Petrol, 3.0 L,7,88
97,32,xDrive35i,Imported,Automatic,Petrol, 3.0 L,7,89
98,33,ActiveHybrid,Imported,Automatic,Hybrid, 4.4 L,7,90
99,33,xDrive35i,Imported,Automatic,Petrol, 3.0 L,7,91
100,33,xDrive50i,Imported,Automatic,Petrol, 4.4 L,7,92
101,34,Premium,Imported,Automatic,Electric,,5,93
102,35,Advanced,Imported,Automatic,Electric,,5,94
103,36,Coupe 4.5 AT,Imported,Automatic,Petrol, 4.5 L,2,103
104,37,6.2 V8,Imported,Automatic,Petrol, 6.2 L,7,104
105,37,EXT 6.0 AT AWD,Imported,Automatic,Petrol, 6.0 L,,105
106,38,3.0 V6,Imported,Automatic,Petrol, 3.0 L,5,106
107,39,LT 1.4 MT,Assembly,Manual,Petrol, 1.4 L,5,107
108,39,LTZ 1.4 AT,Assembly,Automatic,Petrol, 1.4 L,5,108
109,39,LTZ 1.5 AT,Assembly,Automatic,Petrol, 1.5 L,5,109
110,40,2.0 Turbo,Imported,Automatic,Petrol, 2.0 L,2,110
111,40,RS 3.6 V6,Imported,Automatic,Petrol, 3.6 L,2,111
112,41,LT Maxx 2.0 MT,Assembly,Manual,Diesel, 2.0 L,7,112
113,41,LTZ 2.4 AT,Assembly,Automatic,Petrol, 2.4 L,7,113
114,41,LTZ Maxx 2.4 AT,Assembly,Automatic,Petrol, 2.4 L,7,114
115,41,Revv LTZ 2.4 AT,Assembly,Automatic,Petrol, 2.4 L,7,115
116,42,High Country 2.5L 4x4 AT,Imported,Automatic,Diesel, 2.5 L,,116
117,42,High Country 2.8L 4x4 AT,Imported,Automatic,Diesel, 2.8 L,,117
